species,scientific_name,habitat,distribution,conservation_status,ecological_importance,description
Mountain Goat,Oreamnos americanus,High mountains,North America,Least Concern,Browsing,"The mountain goat (Oreamnos americanus), also known as the Rocky Mountain goat, is a hoofed mammal endemic to western North America. A subalpine to alpine species, it is a sure-footed climber commonly seen on cliffs and ice. Despite its common name, it is not a member of Capra, the genus that includes all other goats, such as the wild goat (Capra aegagrus), from which the domestic goat is derived. Instead, the mountain goat is a 'goat-antelope' and is more closely related to the chamois and goral. Mountain goats are easily identified by their thick, white coats and their short, sharp, black horns. They are perfectly adapted for life in steep, rocky terrain. They are primarily browsers and grazers, eating a variety of alpine plants."
Bighorn Sheep,Ovis canadensis,"Mountains, deserts",North America,Least Concern,Grazing,"The bighorn sheep (Ovis canadensis) is a species of sheep native to North America. It is named for its large, curved horns, which can weigh up to 14 kg (30 lb) in terminal males (rams). Females (ewes) also have horns, but they are much smaller and less curved. Bighorn sheep are found in the Rocky Mountains from Canada to New Mexico, as well as in the desert regions of the Southwestern United States and Mexico. They are incredibly agile and are known for their ability to move quickly across steep, rocky terrain. They are social animals and live in groups, often segregated by sex except during the breeding season. The rams are famous for their dramatic head-butting contests to establish dominance. They are primarily grazers and browsers."
Pronghorn,Antilocapra americana,Grasslands,North America,Least Concern,Fastest herbivore in NA,"The pronghorn (Antilocapra americana) is a species of artiodactyl mammal indigenous to interior western and central North America. Though not an antelope, it is known colloquially in North America as the American antelope, prong buck, pronghorn antelope, prairie antelope, or simply antelope because it closely resembles the true antelopes of the Old World and fills a similar ecological niche. It is the only surviving member of the family Antilocapridae. The pronghorn is the fastest land animal in the Western Hemisphere and second only to the cheetah worldwide, capable of running at speeds of up to 88 km/h (55 mph). They are recognizable by their distinctive tan and white coat and their branched (pronged) horns. They inhabit open grasslands and sagebrush plains."
Coyote,Canis latrans,Various,North America,Least Concern,Adaptable predator,"The coyote (Canis latrans) is a species of canine native to North America. It is smaller than its close relative, the gray wolf, and slightly smaller than the closely related eastern wolf and red wolf. It fills much of the same ecological niche as the golden jackal does in Eurasia. The coyote is a highly versatile and adaptable animal, capable of living in a wide range of habitats including forests, grasslands, deserts, and increasingly, urban and suburban areas. They are known for their distinctive, high-pitched howls and yips, which they use to communicate with their group. Coyotes are opportunistic omnivores, eating everything from small mammals and fruit to carrion and human trash."
Jackal (Black-backed),Lupulella mesomelas,Savannas,Africa,Least Concern,Scavenger/Predator,"The black-backed jackal (Lupulella mesomelas) is a canid native to two areas of Africa, separated by roughly 900 km (560 mi). One region includes the southernmost tip of the continent, including South Africa, Namibia, Botswana, and Zimbabwe. The other area is along the eastern coastline, including Kenya, Somalia, Djibouti, Eritrea, and Ethiopia. It is listed as Least Concern on the IUCN Red List, as it is still widespread and common. It is a slender, fox-like canine with a distinctive black-and-silver saddle on its back. Black-backed jackals are highly social and often live in pairs or small groups. They are primarily scavengers but also hunt small prey and are known for their intelligence and vocalizations."
Hyena (Spotted),Crocuta crocuta,Savannas,Africa,Least Concern,Scavenger/Apex predator,"The spotted hyena (Crocuta crocuta), also known as the laughing hyena, is a hyena species, currently classed as the sole extant member of the genus Crocuta, native to sub-Saharan Africa. It is listed as Least Concern by the IUCN on account of its wide range and large numbers. The spotted hyena is the largest known member of the Hyaenidae, and is physically distinguished from other species by its vaguely dog-like build, its rounded ears, its less prominent mane, and its spotted pelt. Spotted hyenas are highly social and live in large groups called clans, which are dominated by females. They are famous for their powerful jaws, capable of crushing bone, and their vocalizations which sound like human laughter. They are both active hunters and efficient scavengers."
Baboon,Papio,"Savannas, rocks","Africa, Arabia",Least Concern,Omnivorous seed disperser,"Baboons are African and Arabian Old World monkeys belonging to the genus Papio, part of the subfamily Cercopithecinae. The five species of baboons are some of the largest non-hominoid members of the primate order; only the mandrill and the drill are larger. Baboons have dog-like muzzles, close-set eyes, heavy, powerful jaws, sharp canine teeth, and thick fur except on their muzzles. They are highly social and live in large groups called troops. Baboons are opportunists and are primarily terrestrial, but they are also capable climbers. They are omnivorous and eat a wide range of plant and animal foods. They are found in a variety of habitats, including savannahs, woodlands, and rocky hillsides."
Mandrill,Mandrillus sphinx,Rainforests,Central Africa,Vulnerable,Biodiversity,"The mandrill (Mandrillus sphinx) is a primate of the Old World monkey family (Cercopithecidae). It is one of two species assigned to the genus Mandrillus, along with the drill. Both the mandrill and the drill were once classified as baboons in the genus Papio, but they now have their own genus. The mandrill is found in tropical rainforests and sometimes semi-arid regions of West Central Africa. It is easily recognizable by its colorful blue and red facial skin and its massive size, being the largest monkey in the world. Adult males are especially vibrant, and their colors intensify during social displays. Mandrills are social and live in large groups, sometimes numbering in the hundreds. They are primarily herbivorous but also eat insects and small vertebrates."
Proboscis Monkey,Nasalis larvatus,Mangrove forests,Borneo,Endangered,Specialized herbivore,"The proboscis monkey (Nasalis larvatus) or long-nosed monkey, known as the bekantan in Indonesia, is a reddish-brown arboreal Old World monkey with an unusually large nose. It is endemic to the southeast Asian island of Borneo and is found mostly in mangrove forests and on the coastal areas of the island. The large nose is especially prominent in males and is thought to be an example of sexual selection, used to attract mates and amplify their vocalizations. Proboscis monkeys are among the largest of Asia's monkeys and were originally placed in the genus Semnopithecus, but they now have their own genus. They are excellent swimmers and are often found near water. They are primarily herbivorous, eating a variety of leaves, fruits, and seeds."
Gibbon,Hylobatidae,Rainforests,Southeast Asia,Endangered,Brachiation,"Gibbons are apes in the family Hylobatidae. The family historically contained one genus, but now is split into four genera and 18 species. Gibbons live in tropical and subtropical rainforests from eastern Bangladesh to northeast India to southern China and Indonesia. Also called 'lesser apes', gibbons differ from 'great apes' (chimpanzees, gorillas, orangutans, and humans) in being smaller, exhibiting low sexual dimorphism, and not making nests. Gibbons are most famous for their spectacular ability to swing through the trees using their long arms, a form of locomotion called brachiation. They are also known for their loud and complex 'songs', which they use to territory and bond with their mates."
Wallaby,Macropodidae,Various,"Australia, New Guinea",Least Concern,Grazing,"A wallaby is a small or middle-sized macropod native to Australia and New Guinea, with introduced populations in New Zealand, Hawaii, the United Kingdom and other countries. They belong to the same taxonomic family as kangaroos and are distinguished from them by their smaller size. While 'kangaroo' refers to the largest species in the family, 'wallaby' is used for the smaller species. Wallabies are found in a variety of habitats, including forests, rocky areas, and grasslands. They have a similar body plan to kangaroos, with large, powerful hind legs for hopping and a long tail for balance. They are herbivorous and eat a variety of plants. There are several different species of wallabies, including rock wallabies and brush wallabies."
Quokka,Setonix brachyurus,"Islands, scrub",Australia,Vulnerable,Biodiversity,"The quokka (Setonix brachyurus), the only member of the genus Setonix, is a small macropod about the size of a domestic cat. Like other marsupials in the macropod family (such as kangaroos and wallabies), the quokka is herbivorous and mainly nocturnal. Quokkas are found on some smaller islands off the coast of Western Australia, particularly Rottnest Island, just off Perth, and also Bald Island near Albany, and in isolated scattered populations in forest and coastal heath between Perth and Albany. They have become famous worldwide as the 'world's happiest animal' due to their expressive faces that often look like they are smiling. They are highly social and relatively unafraid of humans, making them a popular subject for tourist photos."
Sugar Glider,Petaurus breviceps,Forests,"Australia, New Guinea",Least Concern,Pollinator/Insect control,"The sugar glider (Petaurus breviceps) is a small, omnivorous, arboreal, and nocturnal gliding possum belonging to the marsupial infraclass. The common name refers to its preference for sugary foods like sap and nectar and its ability to glide through the air, much like a flying squirrel. They are native to eastern and northern mainland Australia, New Guinea, and various nearby islands. Sugar gliders have a thin membrane of skin, called a patagium, that extends from their ankles to their wrists, allowing them to glide for up to 50 meters between trees. They are highly social and live in small groups. Due to their small size and social nature, they have become popular pets in some parts of the world, although they require specialized care and diet."
Echidna (Short-beaked),Tachyglossus aculeatus,Various,"Australia, New Guinea",Least Concern,Insectivore,"The short-beaked echidna (Tachyglossus aculeatus) is one of four extant species of echidna and the only member of the genus Tachyglossus. Their body is covered with fur and spines and they have a distinctive snout and a specialized tongue, which it uses to catch its insect prey at great speed. Like the other extant monotremes, the echidnas lay eggs; the monotremes are the only group of mammals to do so. The short-beaked echidna has extremely strong front limbs and claws, which allow it to burrow quickly with great power. As it is able to survive in various environments, it is found throughout Australia and in southern New Guinea. It is a long-lived animal and is often considered a living fossil."
Gila Monster,Heloderma suspectum,Deserts,"Southwestern USA, Mexico",Near Threatened,Desert predator,"The Gila monster (Heloderma suspectum) is a species of venomous lizard native to the Southwestern United States and the northwestern Mexican state of Sonora. It is a heavy, slow-moving lizard, up to 60 cm (2.4 ft) long, and is the only venomous lizard native to the United States. Its close relatives, the beaded lizards, inhabit Mexico and Guatemala. The Gila monster is recognizable by its bright orange or pink and black patterned scales. Its venom is a relatively weak neurotoxin that it delivers through grooves in its teeth while biting. Although its bite is extremely painful, it is rarely fatal to healthy adult humans. The Gila monster spends most of its time in underground burrows and is primarily active during the spring. It feeds on bird and reptile eggs and small mammals."
Chameleon,Chamaeleonidae,"Forests, savannas","Africa, Eurasia",Least Concern,Insect control,"Chameleons or chamaeleons (family Chamaeleonidae) are a distinctive and highly specialized clade of Old World lizards with 202 species described as of June 2015. These species come in a range of colors, and many species have the ability to change color for communication and camouflage. Chameleons are distinguished by their zygodactylous feet, their prehensile tails, their separately mobile eyes, and their very long tongues which they use to catch insects at great distance. They are primarily found in Africa and Madagascar, but a few species are also in southern Europe and Asia. Chameleons are adapted for an arboreal lifestyle and are often seen moving slowly through the branches of trees and shrubs. Their color-changing ability is controlled by specialized cells in their skin called chromatophores."
Monitor Lizard (Nile),Varanus niloticus,Near water,Africa,Least Concern,Predator,"The Nile monitor (Varanus niloticus) is a large member of the monitor lizard family (Varanidae) found throughout much of Africa, but is absent from the west. Other common names include the African small-grain lizard, and the water leguaan. They can grow to about 120 to 220 cm (3 ft 11 in to 7 ft 3 in) in length, with the largest specimens attaining 244 cm (8 ft). They have muscular bodies, strong legs, and powerful jaws. Their teeth are sharp and pointed in juvenile animals and become blunt and peg-like in adults. They also possess sharp claws used for climbing, digging, defense, or tearing at prey. Like all monitors, they have forked tongues with highly developed olfactory properties. The Nile monitor is highly aquatic and is often found near rivers and lakes, where it hunts for a variety of prey including fish, frogs, and eggs."
Aardvark,Orycteropus afer,Savannas,Africa,Least Concern,Ant/termite control,"The aardvark (Orycteropus afer) is a medium-sized, burrowing, nocturnal mammal native to Africa. It is the only living species of the order Tubulidentata, although other prehistoric species and genera of Tubulidentata are known. Unlike most other insectivores, it has a long pig-like snout, which is used to sniff out food. It roams over most of the southern two-thirds of the African continent, avoiding areas that are mainly rocky. A nocturnal feeder, it subsists on ants and termites, which it will dig out of their hills using its sharp claws and powerful legs. It then uses its long, sticky tongue to extract the insects. The name aardvark comes from the Afrikaans for 'earth pig', reflecting its appearance and burrowing habits. They are solitary and elusive animals."
Porcupine (Crested),Hystrix cristata,"Forests, hills","Africa, Europe",Least Concern,Herbivore,"The crested porcupine (Hystrix cristata) is a species of rodent in the family Hystricidae, native to Italy, North Africa and sub-Saharan Africa. It is one of the largest rodents in the world and the largest porcupine. The adult crested porcupine has an average head-and-body length of about 60 to 83 cm (24 to 33 in). Its most distinctive feature is its coat of sharp, black and white quills, which can reach up to 35 cm (14 in) in length. These quills are modified hairs and are used for defense. When threatened, the porcupine will rattle its quills and may charge backwards into a predator. Contrary to popular belief, they cannot 'shoot' their quills. They are primarily nocturnal and herbivorous, eating roots, tubers, and fruit. They are social animals and live in small groups."
Pangolin (Ground),Smutsia temminckii,Savannas,Africa,Vulnerable,Ant control,"The ground pangolin (Smutsia temminckii), also known as Temminck's pangolin, Cape pangolin or steppe pangolin, is one of four species of pangolins found in Africa and the only one in southern and eastern Africa. It is a large, scaly mammal that is primarily terrestrial and inhabit variety of habitats including savannahs and woodlands. Ground pangolins are covered in large, overlapping scales made of keratin, which provide excellent protection against predators. When threatened, they can roll into a tight ball. They are primarily nocturnal and insectivorous, feeding exclusively on ants and termites which they find by scent and dig out with their powerful claws. They have no teeth and use their long, sticky tongue to catch their prey. They are increasingly threatened by poaching and habitat loss."
Honey Badger,Mellivora capensis,Various,"Africa, parts of Asia",Least Concern,Hardy predator,"The honey badger (Mellivora capensis), also known as the ratel, is a mammal widely distributed in Africa, Southwest Asia, and the Indian subcontinent. Because of its wide range and occurrence in many different habitats, it is listed as Least Concern on the IUCN Red List. It is the only species in the mustelid subfamily Mellivorinae and its own genus Mellivora. Despite its name, the honey badger does not closely resemble other badger species; instead, it bears more anatomical similarities to weasels. It is primarily a carnivorous species and has few natural predators because of its thick skin, strength and ferocious defensive abilities. It is famous for its toughness and its willingness to take on much larger predators. It has a varied diet, including insects, small mammals, reptiles, and of course, honey and honeybee larvae."
Mongoose (Egyptian),Herpestes ichneumon,"Scrub, wetlands","Africa, Europe",Least Concern,Snake control,"The Egyptian mongoose (Herpestes ichneumon), also known as the ichneumon, is a mongoose species native to various regions of Africa and the Mediterranean. It is a large mongoose, with a typical length of 48 to 60 cm (19 to 24 in) and a long, bushy tail. The fur is grey with a speckled appearance. Egyptian mongooses are found in a variety of habitats, including woodlands, scrublands, and agricultural areas, and are often found near water. They are primarily carnivorous and eat a wide variety of small animals, including insects, rodents, birds, and reptiles. They are famous for their ability to kill venomous snakes. They are often seen in pairs or small family groups. In ancient Egypt, they were sometimes considered sacred animals and were often depicted in art."
Fennec Fox,Vulpes zerda,Deserts,"North Africa, Sahara",Least Concern,Desert adapter,"The fennec fox (Vulpes zerda) is a small crepuscular fox native to the deserts of North Africa, ranging from the Western Sahara to the Sinai Peninsula. Its most distinctive feature is its unusually large ears, which serve to dissipate heat and help it hear prey moving underground. The fennec is the smallest species of canid. Its coat, ears, and kidney functions have adapted to high-temperature, low-water, desert environments. Also, its paws are covered with thick fur to protect them from the hot sand. Its fur is a pale, sand color that provides excellent camouflage. Fennec foxes are social animals and live in small groups. They are omnivorous and eat a variety of insects, small mammals, and plants. They have become popular as exotic pets in some parts of the world."
Caracal,Caracal caracal,"Savannas, scrub","Africa, Asia",Least Concern,Predator,"The caracal (Caracal caracal) is a medium-sized wild cat native to Africa, the Middle East, Central Asia, and India. it is characterised by a robust build, long legs, a short face, long tufted ears, and long canine teeth. Its coat is uniformly reddish-tan or sandy, while the ventral parts are lighter with small reddish markings. Reaching 40–50 cm (16–20 in) at the shoulder, it is a powerful and agile predator. The caracal is famous for its ability to leap high into the air to catch birds in flight. It is primarily a nocturnal and solitary animal, although it may be active during the day in some areas. its diet includes small mammals, birds, and occasionally larger ungulates. The caracal is often considered highly elusive and difficult to spot in the wild."
Serval,Leptailurus serval,"Wetlands, savannas",Africa,Least Concern,Rodent predator,"The serval (Leptailurus serval) is a slender, medium-sized wild cat native to Africa. It is the only member of the genus Leptailurus. It is characterised by a small head, large ears, a golden-yellow to buff coat spotted and striped with black, and a short, black-tipped tail. The serval has the longest legs of any cat relative to its body size, which help it move quickly through tall grass and leap high into the air. It is a highly specialized predator that primarily hunts small mammals, especially rodents, using its incredible hearing to locate them moving in the grass. It can also catch birds and frogs. Servals are primarily found in savannahs and wetlands near water. They are solitary and territorial animals and are most active at dawn and dusk."
Blue Sheep (Bharal),Pseudois nayaur,High mountains,Asia,Least Concern,Snow leopard prey,"The bharal (Pseudois nayaur), also known as the Himalayan blue sheep or naur, is a caprid native to the high Himalayas of India, Nepal, Bhutan, Tibet, and Pakistan. Despite its name, it is thought to be more closely related to goats than to sheep. Bharal are medium-sized goats with a slate-blue or greyish-brown coat that provides excellent camouflage against the rocky slopes where they live. The males have large, smooth, backward-curving horns, while the female's horns are much shorter and straighter. Bharal are highly agile and are typical inhabitants of steep, rocky terrain at high altitudes, ranging from 3,000 to 5,000 meters. They are a primary prey source for the snow leopard. They live in social groups and are primarily grazers and browsers."
Yak (Wild),Bos mutus,High plateau,Tibetan Plateau,Vulnerable,High altitude herbivore,"The wild yak (Bos mutus) is a large, long-haired bovid found throughout the Himalayan region of South Central Asia, the Tibetan Plateau and as far north as Mongolia and Russia. It is the ancestor of the domestic yak (Bos grunniens). Wild yaks are massive animals, with adult males weighing up to 1,000 kg (2,200 lb). They have a thick, shaggy coat, usually black or dark brown, that protects them from the extreme cold of their high-altitude environment. They also have a large, humped shoulder and massive, curved horns. Wild yaks are found in treeless alpine meadows and cold deserts at elevations from 3,000 to 5,500 meters. They are social animals and often form large herds. They are primarily grazers and browsers, eating a variety of grasses and other alpine plants. They are increasingly threatened by habitat loss and competition with domestic livestock."
Red Deer,Cervus elaphus,"Forests, mountains","Europe, Central Asia",Least Concern,Grazing/Browsing,"The red deer (Cervus elaphus) is one of the largest deer species. The red deer inhabits most of Europe, the Caucasus Mountains region, Asia Minor, Iran, parts of western Asia, and central Asia. It also inhabits the Atlas Mountains region between Morocco and Tunisia in northwestern Africa, being the only species of deer to inhabit Africa. Red deer have been introduced to other areas, including Australia, New Zealand, the United States, Canada, Peru, Uruguay, Chile and Argentina. They are known for their reddish-brown coat and their impressive, many-tined antlers in the males (stags). Red deer are social animals and often form large herds. They are primary grazers and browsers, eating a variety of grasses and other plants. They have long been hunted for their meat and antlers and have deep cultural significance in many societies."
Fallow Deer,Dama dama,Woodlands,"Europe, Mediterranean",Least Concern,Grazing,"The fallow deer (Dama dama) is a species of ruminant mammal belonging to the family Cervidae. It is native to Europe and western Asia, but has been introduced to many other parts of the world, including North America, Australasia, and South Africa. Fallow deer are easily recognized by their spotted coats, which are most prominent in the summer, and their spectacular palmate (hand-shaped) antlers in the males. They come in a variety of color morphs, including white, black, and the typical chestnut with white spots. Fallow deer are social animals and are often seen in small groups. They are primary grazers and browsers and are often found in woodlands and parks. They have been popular as ornamental deer in estates and parks for centuries."
Chamois,Rupicapra rupicapra,High mountains,Europe,Least Concern,Alpine herbivore,"The chamois (Rupicapra rupicapra) is a species of goat-antelope native to mountains in Europe, from west to east, including the Cantabrian mountains, the Pyrenees, the Alps, the Apennines, the Dinarides, the Tatra and the Balkan mountains, the Rila – Rhodope massif, and the Caucasus and the Pontic Mountains. It has also been introduced to the South Island of New Zealand. The chamois is a highly agile and sure-footed climber, perfectly adapted for life in steep, rocky terrain at high altitudes. It has a brownish coat with a dark dorsal stripe and two dark facial stripes. Both males and females have short, sharp, hook-like black horns. Chamois live in small social groups and are primarily browsers and grazers. They are known for their incredible speed and jumping ability on difficult terrain."
Ibex (Alpine),Capra ibex,Steep mountains,European Alps,Least Concern,Cliff climber,"The Alpine ibex (Capra ibex), also known as the steinbock or bouquetin, is a species of wild goat that lives in the mountains of the European Alps. It is a sexually dimorphic species with larger males who carry large, curved horns. The coat colour is typically brownish-grey. Ibex are highly agile and are expert climbers, capable of moving across extremely steep and rocky slopes with ease. They are found at high altitudes, ranging from 1,800 to 3,300 meters, and are often seen above the tree line. Ibex were once nearly hunted to extinction, but successful reintroduction programs have helped the population recover. They are social animals and live in groups, often segregated by sex. They are primarily browsers and grazers, eating a variety of alpine plants."
Wild Boar,Sus scrofa,"Forests, scrub","Eurasia, North Africa",Least Concern,Soil turning,"The wild boar (Sus scrofa), also known as the wild swine, common wild pig, or simply wild pig, is a suid native to much of Eurasia and North Africa, and has been introduced to much of the Americas and Oceania. The species is now one of the most wide-ranging mammals in the world, as well as the most widespread suiform. Its wide range, high numbers, and adaptability mean that it is classed as Least Concern by the IUCN and it has become an invasive species in part of its introduced range. Wild boars are powerful animals with a thick, bristly coat and large tusks, which are modified canine teeth used for defense and digging. They are highly social and live in groups called sounders. They are omnivorous and will eat almost anything, including roots, tubers, fruit, and small animals."
Raccoon,Procyon lotor,"Forests, urban",North America,Least Concern,Adaptable scavenger,"The raccoon (Procyon lotor), sometimes spelled racoon, also known as the common raccoon, North American raccoon, northern raccoon, or colloquially as coon, is a medium-sized mammal native to North America. The raccoon is the largest of the procyonid family, having a body length of 40 to 70 cm (16 to 28 in) and a body weight of 5 to 26 kg (11 to 57 lb). Its grayish coat mostly consists of dense underfur which insulates it against cold weather. Two of the raccoon's most distinctive features are its extremely dexterous front paws and its facial mask, which are themes in the mythologies of 여러 indigenous peoples of the Americas. Raccoons are noted for their intelligence, with studies showing that they are able to remember the solution to tasks for up to three years. They are highly adaptable and are found in a variety of habitats, including forests and urban areas."
Opossum (Virginia),Didelphis virginiana,"Forests, suburbs",North America,Least Concern,Tick control,"The Virginia opossum (Didelphis virginiana), commonly known as the North American opossum, is a marsupial found in North America. It is the only marsupial found in North America north of Mexico. The Virginia opossum is a medium-sized animal, about the size of a domestic cat. It is easily recognized by its pointed snout, large ears, and long, prehensile, hairless tail. Its fur is typically greyish with a white face. Opossums are famous for their defensive behavior of 'playing possum', where they will feign death when threatened by a predator. They are highly adaptable and are found in a variety of habitats, including forests and suburban areas. They are opportunistic omnivores and eat a variety of insects, rodents, fruit, and carrion. They are also known for their resistance to many types of snake venom."
Beaver (North American),Castor canadensis,"Rivers, lakes",North America,Least Concern,Keystone species (dams),"The North American beaver (Castor canadensis) is one of two extant species of beavers. It is native to North America and has been introduced to Patagonia and several countries in Europe. After the capybara, it is the second-largest rodent in the world. Beavers are famous for their incredible ability to transform their environment by building dams, canals, and lodges. These structures create wetlands that provide habitat for a huge variety of other wildlife. Beavers have a thick, waterproof coat, webbed hind feet, and a large, flat, scaly tail used for swimming and balance. They are primarily herbivorous and eat a variety of aquatic plants, as well as the bark and wood of trees such as willow and aspen. They have large, orange-colored front teeth that grow continuously and are used for gnawing on wood."
River Otter (North American),Lontra canadensis,"Rivers, coasts",North America,Least Concern,Aquatic predator,"The North American river otter (Lontra canadensis), also known as the northern river otter or the common otter, is a semiaquatic mammal endemic to the North American continent found in and along its waterways and coasts. An adult North American river otter can weigh between 5 and 14 kg (11 and 31 lb). The river otter is protected and insulated by a thick, water-repellent coat of fur. They have streamlined bodies, webbed feet, and long, powerful tails, making them excellent swimmers. They are highly social and are often seen playing and sliding down muddy banks. Their diet consists primarily of fish, but they also eat crustaceans, amphibians, and small mammals. They are sensitive to water pollution and are considered an indicator of a healthy aquatic ecosystem."
Skunk (Striped),Mephitis mephitis,Various,North America,Least Concern,Insect hunter,"The striped skunk (Mephitis mephitis) is a skunk of the genus Mephitis that is native to North America. It is the most common skunk in the world and is found across most of the continental United States and southern Canada. Striped skunks are easily recognized by their black fur with two bold white stripes that run from the head to the tail. They are famous for their spectacular defensive ability to spray a pungent and irritating fluid from glands near their tail when threatened. This spray is powerful enough to deter even large predators. They are primarily nocturnal and are opportunistic omnivores, eating a variety of insects, rodents, fruit, and carrion. They are highly adaptable and are found in a variety of habitats, including forests, grasslands, and suburban areas."
Mink,Neovison vison,Wetlands,North America,Least Concern,Semiaquatic predator,"The American mink (Neovison vison) is a semiaquatic species of mustelid native to North America, though human intervention has expanded its range to many parts of Europe, Asia, and South America. It is the only member of the genus Neovison. The American mink is a slender, medium-sized carnivore, with a body length of 30 to 50 cm (12 to 20 in) and a long, bushy tail. Its fur is traditionally brown, but is now bred in a variety of colors for the fur trade. Minks are highly adapted for an aquatic lifestyle and are excellent swimmers. They are primarily carnivorous and hunt a variety of prey, including fish, frogs, rodents, and birds. They are often found near rivers, lakes, and marshes. They are solitary and territorial animals and are considered a highly efficient and successful predator."
Fisher,Pekania pennanti,Forests,North America,Least Concern,Porcupine predator,"The fisher (Pekania pennanti) is a small carnivorous mammal native to North America. It is a member of the mustelid family (Mustelidae) and is the only living species in the genus Pekania. Despite its name, the fisher rarely eats fish; the name instead comes from its resemblance to the European polecat, which was known as the 'fitch'. The fisher is a slender, medium-sized carnivore, with a dark brown to black coat and a long, bushy tail. It is a highly agile and successful predator, capable of climbing trees with great speed. It is one of the few predators capable of killing porcupines, which it does by attacking their vulnerable head. Fishers are primarily found in coniferous and mixed forests and are solitary and elusive animals."
American Marten,Martes americana,Coniferous forests,North America,Least Concern,Rodent control,"The American marten (Martes americana), also known as the pine marten, is a North American mammal, a member of the family Mustelidae. The species is sometimes referred to as the American pine marten. The Newfoundland pine marten (Martes americana atrata) is a threatened subspecies of the American marten found only on the island of Newfoundland. The American marten is a slender, medium-sized carnivore, with a soft, silky coat ranging from light brown to black and a characteristic orange or yellow throat patch. They are highly arboreal and are excellent climbers, moving with great speed through the trees. They are primarily carnivorous and hunt a variety of small mammals, birds, and insects. They are found in coniferous and mixed forests and are solitary and elusive animals."
Stoat (Ermine),Mustela erminea,Various,Northern Hemisphere,Least Concern,Prey control,"The stoat (Mustela erminea), also known as the short-tailed weasel or simply the weasel in Ireland, is a species of mustelid native to Eurasia and North America. It is distinguished from the least weasel by its larger size and its longer tail with a prominent black tip. In northern parts of its range, the stoat's coat turns from brown to white in the winter, although the black tip on the tail remains. In this white state, it is known as an ermine. Stoats are small, agile, and highly successful predators, capable of killing prey much larger than themselves, such as rabbits. They are primarily found in a variety of habitats, including woodlands, grasslands, and marshes. They are solitary and territorial animals and are known for their energetic and focused hunting style."
Weasel (Least),Mustela nivalis,Various,Northern Hemisphere,Least Concern,Smallest carnivore,"The least weasel (Mustela nivalis), also known as the common weasel, little weasel, or simply weasel, is the smallest member of the genus Mustela, the family Mustelidae, and the order Carnivora. It is native to Eurasia, North America, and North Africa and has been introduced to New Zealand, Australia, and several other countries. Despite its tiny size, the least weasel is a ferocious and efficient predator, capable of killing prey twice its size. It has a long, slender body that allows it to follow rodents into their burrows. Its fur is typically brown above and white below. Like the stoat, in northern regions, it may turn white in the winter. They are found in a variety of habitats, including woodlands, grasslands, and agricultural areas. They are highly active and have a very high metabolic rate."
Bobcat,Lynx rufus,Various,North America,Least Concern,Small game predator,"The bobcat (Lynx rufus) is a medium-sized North American cat that appears from southern Canada to central Mexico, including most of the contiguous United States. It is a resilient and adaptable predator that inhabits a variety of environments, including forests, semi-deserts, urban edges, forest edges, and swampland environments. The bobcat is about twice as large as a domestic cat and is characterized by its short (bobbed) tail, tufted ears, and a ruff of hair on its cheeks. Its coat is uniformly reddish-tan or greyish, with prominent black spots and bars. Bobcats are primarily nocturnal and solitary animals and are ambush predators. Their diet includes a variety of prey, from insects and rodents to deer. They are highly territorial and use a variety of calls to communicate."
Collared Peccary,Pecari tajacu,"Deserts, forests",Americas,Least Concern,Omnivore,"The collared peccary (Pecari tajacu), also known as the javelina or musk hog, is a mammal in the family Tayassuidae native to the Americas. Peccaries were originally classified in the family Suidae, along with pigs, but they are now placed in their own family. The collared peccary is native to the Southwestern United States, through Mexico and Central America, and as far south as northern Argentina in South America. They have a pig-like appearance, with a thick coat of bristly grey or black hair and a faint white 'collar' around their neck. Peccaries are highly social and live in groups called squadrons, which can number from a few individuals to over 50. They are opportunists and eat a variety of plants, roots, tubers, and occasionally small animals. They are known for their strong scent, which they use to communicate with their group."
Tamandua (Northern),Tamandua mexicana,Forests,Central/South America,Least Concern,Ant/termite control,"The northern tamandua (Tamandua mexicana) is a species of anteater in the family Myrmecophagidae native to Central and northern South America. It is a medium-sized anteater, about the size of a domestic cat. It is characterized by its elongated snout, long, curved claws, and its distinctive, prehensile tail which it uses for climbing. Its fur is typically a light yellow or tan with a pale, V-shaped 'vest' on its back. Northern tamanduas are primarily arboreal and are excellent climbers, spending most of their time in the trees hunting for ants and termites. They have no teeth and use their long, sticky tongue to extract their prey from mounds and crevices. They are solitary and primarily nocturnal animals. They are often found in tropical and subtropical forests."
Spider Monkey,Ateles,Rainforests,Central/South America,Endangered,Seed dispersal,"Spider monkeys are New World monkeys belonging to the genus Ateles, part of the subfamily Atelinae, family Atelidae. Like other atelines, they are found in tropical forests of Central and South America, from southern Mexico to Brazil. The genus contains seven species, all of which are under threat; the black-headed spider monkey and brown spider monkey are critically endangered. Spider monkeys have long, extremely thin limbs and highly prehensile tails, which they use as a fifth limb for climbing and swinging through the trees. They are among the most agile of New World monkeys and can move with great speed through the canopy. They are primary frugivores and play a vital role in seed dispersal. They live in large social groups and are known for their loud and complex vocalizations."
